KPI,Value
Total Customers,2205
Average Age,45.1
% With Children,71.43%
Children Distribution,Yes: 1575; No: 630
Average Customer Tenure (Years),0.97
Marital Status Distribution,Married: 38.87%; Together: 25.90%; Single: 21.32%; Divorced: 10.48%; Widow: 3.45%
Education Level Distribution,Graduate: 50.48%; Postgraduate: 38.10%; Undergraduate: 11.43%
Customer Growth per Year,2012: 487; 2013: 1169; 2014: 549
Complaint Rate,0.91%
Response Rate,14.97%
Active vs Passive Customers,Passive: 67.66%; Active: 32.34%
